Date,State,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,"Populations (White, Black, LatinX, Asian, AIAN, NHPI, Multiracial)",,,,,,,,,,,
20200614,ID,83,1,0,2,0,0,0,0,,,,,,,,,,,0
20200614,IL,2770,1793,1257,298,9,5,0,0,,,,,,,,,,,0
20200614,IN,1435,339,0,10,0,0,0,0,,,,,,,,,,,0
20200614,KS,165,60,0,7,2,0,0,0,,,,,,,,,,,0
20200614,KY,374,80,0,8,0,0,8,0,,,,,,,,,,,0
20200614,LA,1293,1566,0,22,2,2,0,0,,,,,,,,,,,0
20200614,MA,5596,632,526,198,0,0,0,0,,,,,,,,,,,0
20200614,MD,1260,1200,302,113,0,0,0,0,,,,,,,,,,,0
20200614,ME,87,1,0,0,0,0,0,0,,,,,,,,,,,0
20200614,MI,3096,2395,0,77,19,0,97,0,,,,,,,,,,,0
20200614,MN,903,90,0,41,16,1,7,0,,,,,,,,,,,0
20200614,MO,510,308,0,0,0,0,7,0,,,,,,,,,,,0
20200614,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,MS,372,454,15,0,43,0,0,0,,,,,,,,,,,0
20200614,MT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,NC,637,365,0,16,8,3,0,0,,,,,,,,,,,0
20200614,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,NE,114,10,0,9,1,0,0,0,,,,,,,,,,,0
20200614,NH,234,6,9,3,0,0,0,0,,,,,,,,,,,0
20200614,NJ,6792,2336,2563,720,0,0,0,0,,,,,,,,,,,0
20200614,NM,98,4,59,1,236,0,0,0,,,,,,,,,,,0
20200614,NV,217,58,72,65,3,0,0,0,,,,,,,,,,,0
20200614,NY,8040,5896,6227,1585,0,0,0,0,,,,,,,,,,,0
20200614,OH,2001,463,0,25,0,0,32,0,,,,,,,,,,,0
20200614,OK,275,28,0,3,25,0,0,0,,,,,,,,,,,0
20200614,OR,129,6,0,7,3,3,2,0,,,,,,,,,,,0
20200614,PA,4419,1296,0,144,0,0,0,0,,,,,,,,,,,0
20200614,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,RI,561,40,69,0,0,0,0,0,,,,,,,,,,,0
20200614,SC,261,272,0,5,0,0,0,0,,,,,,,,,,,0
20200614,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,TN,266,162,0,10,0,0,0,0,,,,,,,,,,,0
20200614,TX,269,85,171,13,0,0,0,0,,,,,,,,,,,0
20200614,UT,82,5,35,7,6,8,0,0,,,,,,,,,,,0
20200614,VA,932,333,0,0,0,0,0,0,,,,,,,,,,,0
20200614,VI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200614,VT,52,0,0,2,0,0,0,0,,,,,,,,,,,0
20200614,WA,822,38,135,106,15,12,16,0,,,,,,,,,,,0
20200614,WI,476,169,0,19,9,0,0,0,,,,,,,,,,,0
20200614,WV,58,3,0,0,0,0,0,0,,,,,,,,,,,0
20200614,WY,7,0,1,0,9,0,0,0,,,,,,,,,,,0
20200617,AK,7,0,0,2,2,1,0,0,,,,,,,,,,,0
20200617,AL,380,359,0,5,0,0,0,0,,,,,,,,,,,0
20200617,AR,110,61,0,1,0,10,0,0,,,,,,,,,,,0
20200617,AS,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,AZ,544,37,244,15,219,0,0,0,,,,,,,,,,,0
20200617,CA,1660,479,2029,734,14,23,36,0,,,,,,,,,,,0
20200617,CO,1019,108,343,55,8,6,14,0,,,,,,,,,,,0
20200617,CT,3080,627,357,45,0,0,0,0,,,,,,,,,,,0
20200617,DC,56,388,67,7,0,0,0,0,,,,,,,,,,,0
20200617,DE,259,114,27,1,0,0,0,0,,,,,,,,,,,0
20200617,FL,1471,627,738,0,0,0,0,0,,,,,,,,,,,0
20200617,GA,1150,1230,122,39,3,5,0,0,,,,,,,,,,,0
20200617,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,IA,533,33,0,20,6,13,0,0,,,,,,,,,,,0
20200617,ID,84,1,0,2,0,0,0,0,,,,,,,,,,,0
20200617,IL,2856,1832,1301,306,9,5,0,0,,,,,,,,,,,0
20200617,IN,1469,345,0,11,0,0,0,0,,,,,,,,,,,0
20200617,KS,172,60,0,8,2,0,0,0,,,,,,,,,,,0
20200617,KY,385,82,0,8,0,0,9,0,,,,,,,,,,,0
20200617,LA,1365,1618,0,23,3,2,0,0,,,,,,,,,,,0
20200617,MA,5684,634,525,208,0,0,0,0,,,,,,,,,,,0
20200617,MD,1281,1221,311,116,0,0,0,0,,,,,,,,,,,0
20200617,ME,89,1,0,0,0,0,0,0,,,,,,,,,,,0
20200617,MI,3110,2404,0,79,19,0,96,0,,,,,,,,,,,0
20200617,MN,936,95,0,41,17,1,7,0,,,,,,,,,,,0
20200617,MO,528,319,0,0,0,0,8,0,,,,,,,,,,,0
20200617,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,MS,388,476,15,0,51,0,0,0,,,,,,,,,,,0
20200617,MT,13,0,0,0,4,0,0,0,,,,,,,,,,,0
20200617,NC,670,377,0,18,9,3,0,0,,,,,,,,,,,0
20200617,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,NE,114,10,0,9,1,0,0,0,,,,,,,,,,,0
20200617,NH,244,6,9,3,0,0,0,0,,,,,,,,,,,0
20200617,NJ,6882,2362,2592,715,0,0,0,0,,,,,,,,,,,0
20200617,NM,98,4,59,1,236,0,0,0,,,,,,,,,,,0
20200617,NV,220,58,73,66,3,0,0,0,,,,,,,,,,,0
20200617,NY,8078,5925,6269,1595,0,0,0,0,,,,,,,,,,,0
20200617,OH,2040,472,0,27,0,0,34,0,,,,,,,,,,,0
20200617,OK,279,28,0,4,25,0,0,0,,,,,,,,,,,0
20200617,OR,135,6,0,8,3,3,2,0,,,,,,,,,,,0
20200617,PA,4419,1296,0,144,0,0,0,0,,,,,,,,,,,0
20200617,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,RI,583,44,72,0,0,0,0,0,,,,,,,,,,,0
20200617,SC,267,273,0,5,0,0,0,0,,,,,,,,,,,0
20200617,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,TN,282,166,0,10,0,0,0,0,,,,,,,,,,,0
20200617,TX,269,85,171,13,0,0,0,0,,,,,,,,,,,0
20200617,UT,83,5,37,7,7,8,0,0,,,,,,,,,,,0
20200617,VA,858,342,159,91,1,0,0,0,,,,,,,,,,,0
20200617,VI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200617,VT,52,0,0,2,0,0,0,0,,,,,,,,,,,0
20200617,WA,833,37,132,106,16,12,15,0,,,,,,,,,,,0
20200617,WI,489,173,0,20,9,0,0,0,,,,,,,,,,,0
20200617,WV,58,3,0,0,0,0,0,0,,,,,,,,,,,0
20200617,WY,7,0,1,0,9,0,0,0,,,,,,,,,,,0
20200621,AK,7,0,0,2,2,1,0,0,,,,,,,,,,,0
20200621,AL,380,359,0,5,0,0,0,0,,,,,,,,,,,0
20200621,AR,124,65,0,1,0,13,0,0,,,,,,,,,,,0
20200621,AS,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,AZ,622,43,273,16,241,0,0,0,,,,,,,,,,,0
20200621,CA,1779,501,2170,774,15,22,37,0,,,,,,,,,,,0
20200621,CO,1033,109,346,56,9,5,13,0,,,,,,,,,,,0
20200621,CT,3110,635,365,45,0,0,0,0,,,,,,,,,,,0
20200621,DC,57,395,68,8,0,0,0,0,,,,,,,,,,,0
20200621,DE,264,117,28,1,0,0,0,0,,,,,,,,,,,0
20200621,FL,1542,659,776,0,0,0,0,0,,,,,,,,,,,0
20200621,GA,1188,1263,127,44,3,5,0,0,,,,,,,,,,,0
20200621,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,IA,545,34,0,22,5,12,0,0,,,,,,,,,,,0
20200621,ID,84,1,0,2,1,0,0,0,,,,,,,,,,,0
20200621,IL,2943,1869,1353,318,9,6,0,0,,,,,,,,,,,0
20200621,IN,1502,351,0,12,0,0,0,0,,,,,,,,,,,0
20200621,KS,176,60,0,9,2,0,0,0,,,,,,,,,,,0
20200621,KY,394,81,0,7,0,0,9,0,,,,,,,,,,,0
20200621,LA,1354,1606,0,22,3,2,0,0,,,,,,,,,,,0
20200621,MA,5791,644,542,204,0,0,0,0,,,,,,,,,,,0
20200621,MD,1322,1242,323,116,0,0,0,0,,,,,,,,,,,0
20200621,ME,89,1,0,0,0,0,0,0,,,,,,,,,,,0
20200621,MI,3147,2419,0,79,19,0,97,0,,,,,,,,,,,0
20200621,MN,992,101,0,44,21,1,7,0,,,,,,,,,,,0
20200621,MO,555,339,0,0,0,0,8,0,,,,,,,,,,,0
20200621,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,MS,388,476,15,0,51,0,0,0,,,,,,,,,,,0
20200621,MT,13,0,0,0,5,0,0,0,,,,,,,,,,,0
20200621,NC,690,397,0,18,10,3,0,0,,,,,,,,,,,0
20200621,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,NE,114,10,0,9,1,0,0,0,,,,,,,,,,,0
20200621,NH,254,6,10,3,0,0,0,0,,,,,,,,,,,0
20200621,NJ,6796,2315,2561,707,0,0,0,0,,,,,,,,,,,0
20200621,NM,98,4,59,1,236,0,0,0,,,,,,,,,,,0
20200621,NV,223,58,76,67,3,0,0,0,,,,,,,,,,,0
20200621,NY,8141,5958,6300,1605,0,0,0,0,,,,,,,,,,,0
20200621,OH,2115,496,0,28,0,0,32,0,,,,,,,,,,,0
20200621,OK,282,28,0,5,25,0,0,0,,,,,,,,,,,0
20200621,OR,138,6,0,8,3,3,2,0,,,,,,,,,,,0
20200621,PA,4566,1368,0,146,0,0,0,0,,,,,,,,,,,0
20200621,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,RI,583,44,72,0,0,0,0,0,,,,,,,,,,,0
20200621,SC,281,287,0,6,0,0,0,0,,,,,,,,,,,0
20200621,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,TN,296,170,0,11,0,0,0,0,,,,,,,,,,,0
20200621,TX,269,85,171,13,0,0,0,0,,,,,,,,,,,0
20200621,UT,87,5,38,7,8,9,0,0,,,,,,,,,,,0
20200621,VA,878,347,171,91,1,0,0,0,,,,,,,,,,,0
20200621,VI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200621,VT,53,0,0,2,0,0,0,0,,,,,,,,,,,0
20200621,WA,846,40,145,106,16,12,15,0,,,,,,,,,,,0
20200621,WI,512,179,0,22,10,0,0,0,,,,,,,,,,,0
20200621,WV,58,3,0,0,0,0,0,0,,,,,,,,,,,0
20200621,WY,9,0,1,0,9,0,0,0,,,,,,,,,,,0
20200624,AK,7,0,0,2,2,1,0,0,,,,,,,,,,,0
20200624,AL,430,404,0,5,0,0,0,0,,,,,,,,,,,0
20200624,AR,130,66,0,1,0,17,0,0,,,,,,,,,,,0
20200624,AS,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200624,AZ,654,45,305,17,268,0,0,0,,,,,,,,,,,0
20200624,CA,1783,511,2225,785,18,22,37,0,,,,,,,,,,,0
20200624,CO,1043,108,353,57,8,6,21,0,,,,,,,,,,,0
20200624,CT,3130,639,368,45,0,0,0,0,,,,,,,,,,,0
20200624,DC,58,401,69,8,0,0,0,0,,,,,,,,,,,0
20200624,DE,318,128,31,1,0,0,0,0,,,,,,,,,,,0
20200624,FL,1585,682,817,0,0,0,0,0,,,,,,,,,,,0
20200624,GA,1212,1282,130,44,3,5,0,0,,,,,,,,,,,0
20200624,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200624,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200624,IA,551,34,0,22,5,12,0,0,,,,,,,,,,,0
20200624,ID,84,1,0,2,1,0,0,0,,,,,,,,,,,0
20200624,IL,3004,1892,1383,322,9,6,0,0,,,,,,,,,,,0
20200624,IN,1541,353,0,12,0,0,0,0,,,,,,,,,,,0
20200624,KS,182,60,0,9,2,0,0,0,,,,,,,,,,,0
20200624,KY,405,81,0,7,0,0,8,0,,,,,,,,,,,0
20200624,LA,1412,1655,0,23,3,2,0,0,,,,,,,,,,,0
20200624,MA,5882,650,547,206,0,0,0,0,,,,,,,,,,,0
20200624,MD,1334,1261,332,121,0,0,0,0,,,,,,,,,,,0
20200624,ME,89,1,0,0,0,0,0,0,,,,,,,,,,,0
20200624,MI,3160,2429,0,79,19,0,97,0,,,,,,,,,,,0
20200624,MN,1018,104,0,45,21,2,7,0,,,,,,,,,,,0
20200624,MO,568,342,0,0,0,0,8,0,,,,,,,,,,,0
20200624,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200624,MS,413,512,16,0,59,0,0,0,,,,,,,,,,,0
20200624,MT,13,0,0,0,5,0,0,0,,,,,,,,,,,0
