Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,7/18/2020,Female,All ages,"29,112","3,065"
9/23/2020,7/25/2020,Female,Under 1 year,142,0
9/23/2020,7/25/2020,Female,1-4 years,33,0
9/23/2020,7/25/2020,Female,5-14 years,44,0
9/23/2020,7/25/2020,Female,15-24 years,178,14
9/23/2020,7/25/2020,Female,25-34 years,466,28
9/23/2020,7/25/2020,Female,35-44 years,698,70
9/23/2020,7/25/2020,Female,45-54 years,"1,389",182
9/23/2020,7/25/2020,Female,55-64 years,"3,261",427
9/23/2020,7/25/2020,Female,65-74 years,"5,206",739
9/23/2020,7/25/2020,Female,75-84 years,"7,162",907
9/23/2020,7/25/2020,Female,85 years and over,"10,762","1,196"
9/23/2020,7/25/2020,Female,All ages,"29,341","3,563"
9/23/2020,8/1/2020,Female,Under 1 year,145,0
9/23/2020,8/1/2020,Female,1-4 years,29,0
9/23/2020,8/1/2020,Female,5-14 years,42,1
9/23/2020,8/1/2020,Female,15-24 years,173,8
9/23/2020,8/1/2020,Female,25-34 years,356,17
9/23/2020,8/1/2020,Female,35-44 years,688,62
9/23/2020,8/1/2020,Female,45-54 years,"1,342",170
9/23/2020,8/1/2020,Female,55-64 years,"3,200",394
9/23/2020,8/1/2020,Female,65-74 years,"5,201",757
9/23/2020,8/1/2020,Female,75-84 years,"7,068",899
9/23/2020,8/1/2020,Female,85 years and over,"10,637","1,148"
9/23/2020,8/1/2020,Female,All ages,"28,881","3,456"
9/23/2020,8/8/2020,Female,Under 1 year,157,0
9/23/2020,8/8/2020,Female,1-4 years,22,0
9/23/2020,8/8/2020,Female,5-14 years,34,1
9/23/2020,8/8/2020,Female,15-24 years,157,5
9/23/2020,8/8/2020,Female,25-34 years,404,24
9/23/2020,8/8/2020,Female,35-44 years,683,63
9/23/2020,8/8/2020,Female,45-54 years,"1,312",145
9/23/2020,8/8/2020,Female,55-64 years,"3,287",375
9/23/2020,8/8/2020,Female,65-74 years,"5,055",683
